order_id,fecha,order_customer_id,product_id,unit_price,quantity,price,product_family,latitude,longitude
1016330781887,2023-05-29,6451824076,IAM925P00XXZPUDIA,19.0,8,152.0,Pulsera,37.7886172,-3.7902149
1095376438463,2023-07-16,664062345899,OTS925P00XXZPUDOT,19.0,6,114.0,Pulsera,40.2995417,-3.9267741
1047641588927,2023-06-17,642133246635,UND925P00XXZCOMUN,25.0,5,125.0,Collar,39.6519268,-0.4112766
1181322118257,2023-08-29,714672128644,OTS925A00XXZPUDOT,19.0,4,76.0,Pulsera,39.4565114,-0.3462027
1017492866239,2023-05-30,196440539724,IMO925P00XXZTOMIM,25.0,3,75.0,Tobillera,37.3941715,-5.9578573
480728843265,2023-03-27,226613674572,UDL925P00XXVPUSUD,25.0,3,75.0,Pulsera,38.9849441,-3.9278492
457358836737,2023-03-10,244904182348,UND925P00XXZCOMUN,25.0,3,75.0,Collar,40.6045102,-4.3394878
1001207956671,2023-05-21,621451002539,OTS925P00XXZTODOT,19.0,3,57.0,Tobillera,40.8041264,0.5162182
1057963181247,2023-06-23,647359906475,UND925P00XXZCOMUN,25.0,3,75.0,Collar,41.3616917,2.1290374
1095376438463,2023-07-16,664062345899,OTS925P00XXZPUDOT,19.0,3,57.0,Pulsera,40.2995417,-3.9267741
1098757047487,2023-07-19,664062345899,OTS925P00XXZPUDOT,19.0,3,57.0,Pulsera,40.2995417,-3.9267741
1048783094975,2023-06-18,4596080972,UND925P00XXZCOMUN,25.0,2,50.0,Collar,39.5463344,-0.3452832
1088070747327,2023-07-12,6075002444,ERF925P00XXZPUNER,29.0,2,58.0,Pulsera,39.511688,-0.43257
1018672252095,2023-05-31,6389023436,UND925P00XXZCOMUN,25.0,2,50.0,Collar,39.4689615,-0.3717552
479568004097,2023-03-26,6451824076,IMO925P00XXZCODIM,29.0,2,58.0,Collar,37.7886172,-3.7902149
470584919041,2023-03-19,6533530060,REE925P00XXZCOFRE,25.0,2,50.0,Collar,39.4626141,-0.3536548
470584919041,2023-03-19,6533530060,IMO925A00XXZCODIM,35.0,2,70.0,Collar,39.4626141,-0.3536548
1074997953727,2023-07-04,6895645900,IST925P00XXZTOSIS,25.0,2,50.0,Tobillera,37.6282325,-0.9256574
468983350273,2023-03-18,7012581324,NFI925R00XXZCOINF,25.0,2,50.0,Collar,40.4167884,-3.6767390999999989
468983350273,2023-03-18,7012581324,UND925P00XXZCOMUN,25.0,2,50.0,Collar,40.4167884,-3.6767390999999989
1032503493823,2023-06-08,7012581324,OTS925P00XXZTODOT,19.0,2,38.0,Tobillera,40.4167884,-3.6767390999999989
969079325887,2023-05-07,7092233996,ATR925P00XXZPEEAT,22.5,2,45.0,Pendientes,41.5606901,2.0252314
930862007487,2023-04-15,7154804876,UND925P00XXZCOMUN,25.0,2,50.0,Collar,40.4492546,-3.6573352999999988
934580061375,2023-04-19,7187844428,AVE925P0016ZANWAV,19.0,2,38.0,Anillo,41.2379941,0.3316589
998000886975,2023-05-19,24536728140,IST925P00XXZPUSIS,25.0,2,50.0,Pulsera,43.46232,-3.8087334
968174798015,2023-05-06,28669854284,LAT925P00XXVPUPLA,25.0,2,50.0,Pulsera,39.446692,-0.3748446
933306303679,2023-04-17,81350246988,OSE925R00XXZCOMOS,29.0,2,58.0,Collar,41.390552199999988,2.1365116
1022483170495,2023-06-02,169139356236,IAM925P00XXZPUDIA,19.0,2,38.0,Pulsera,43.5373302,-5.6526586
1037143442623,2023-06-11,174421623372,REE925P00XXZTOFRE,29.0,2,58.0,Tobillera,41.5214233,0.5923261
505523930113,2023-03-29,186784399948,IST925R00XXZPUSIS,24.0,2,48.0,Pulsera,37.8021448,-0.8121233
452862018561,2023-03-07,187094090316,UND925P00XXZCOMUN,25.0,2,50.0,Collar,40.4765501,-3.7003632
1159375225969,2023-08-19,192902382156,IRC925P00XXZCOCIR,18.75,2,37.5,Collar,38.3643963,-0.4229939
1109062714481,2023-07-25,215983505996,REE925P00XXZTOFRE,29.0,2,58.0,Tobillera,40.5293947,-3.6590738
460531237889,2023-03-13,234983211596,AND925A0010ZANPAN,25.0,2,50.0,Anillo,43.3597614,-8.4114604
